Particle_1,Particle_2,Particle_3,Particle_4,Particle_5,Particle_6,Particle_7,Particle_8,Particle_9,Particle_10,Particle_11,Particle_12,Particle_13,Particle_14,Average,STD
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.6378701929812294e-05,1.688008083006439e-05,2.891391572169254e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.6378701929812294e-05,1.688008083006439e-05,2.891391572169254e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.6378701929812294e-05,1.688008083006439e-05,2.891391572169254e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.6378701929812294e-05,1.688008083006439e-05,2.891391572169254e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.6378701929812294e-05,1.688008083006439e-05,2.891391572169254e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.6378701929812294e-05,1.688008083006439e-05,2.891391572169254e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.6378701929812294e-05,1.688008083006439e-05,2.891391572169254e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,1.884818829296921e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.6378701929812294e-05,1.6708861431600334e-05,2.691922665240054e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,1.884818829296921e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.604290586515158e-05,1.6684875998410283e-05,2.696250097087916e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,1.884818829296921e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.604290586515158e-05,1.6684875998410283e-05,2.696250097087916e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,1.884818829296921e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.604290586515158e-05,1.6684875998410283e-05,2.696250097087916e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,1.884818829296921e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.604290586515158e-05,1.6684875998410283e-05,2.696250097087916e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,1.884818829296921e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,1.7339577550884797e-05,1.604290586515158e-05,1.6684875998410283e-05,2.696250097087916e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,1.884818829296921e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.6208862807026537e-05,1.7339577550884797e-05,1.604290586515158e-05,1.661517895122582e-05,2.6950422701645517e-06
1.2695523437078008e-05,2.023007782371251e-05,2.0669020730777387e-05,2.0153562072805517e-05,1.225439314090627e-05,1.7564515583888205e-05,1.3459074643472751e-05,1.884818829296921e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.6208862807026537e-05,1.7339577550884797e-05,1.604290586515158e-05,1.661517895122582e-05,2.6950422701645517e-06
